Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
524,tt0237534,2022-10-26,2022-10-26,,"Brotherhood of the Wolf","Le pacte des loups",https://www.imdb.com/title/tt0237534/,Movie,7.0,142,2001,"Action, Adventure, Drama, Horror, Thriller",76082,2002-01-25,"Christophe Gans",6,2022-10-26
525,tt0055304,2022-10-26,2022-10-26,,"The Pit and the Pendulum","Pit and the Pendulum",https://www.imdb.com/title/tt0055304/,Movie,7.0,80,1961,"Drama, Horror, Mystery",18330,1961-08-23,"Roger Corman",7,2022-10-26
526,tt0478988,2022-10-26,2022-10-26,,"The Call of Cthulhu","The Call of Cthulhu",https://www.imdb.com/title/tt0478988/,Movie,7.1,47,2005,"Horror, Mystery",9546,2005-10-07,"Andrew Leman",7,2022-10-26
527,tt0037024,2022-10-26,2022-10-26,,"The Lodger","The Lodger",https://www.imdb.com/title/tt0037024/,Movie,7.0,84,1944,"Crime, Horror, Mystery, Thriller",4375,1944-01-19,"John Brahm",8,2022-10-26
528,tt0031143,2022-10-26,2022-10-26,,"The Cat and the Canary","The Cat and the Canary",https://www.imdb.com/title/tt0031143/,Movie,7.1,72,1939,"Comedy, Horror, Mystery, Thriller",4204,1939-11-10,"Elliott Nugent",6,2022-10-26
529,tt13560574,2022-10-26,2022-10-26,,"X","X",https://www.imdb.com/title/tt13560574/,Movie,6.5,105,2022,"Horror, Mystery, Thriller",220653,2022-03-18,"Ti West",6,2022-10-26
530,tt0905372,2022-10-26,2022-10-26,,"The Thing","The Thing",https://www.imdb.com/title/tt0905372/,Movie,6.2,103,2011,"Horror, Mystery, Sci-Fi",153546,2011-10-14,"Matthijs van Heijningen Jr.",7,2022-10-26
531,tt0120877,2022-10-26,2022-10-26,,"Vampires","Vampires",https://www.imdb.com/title/tt0120877/,Movie,6.1,108,1998,"Action, Horror, Thriller",67896,1998-10-30,"John Carpenter",6,2022-10-26
532,tt0082533,2022-10-26,2022-10-26,,"The Howling","The Howling",https://www.imdb.com/title/tt0082533/,Movie,6.5,91,1981,"Horror",44115,1981-04-10,"Joe Dante",7,2022-10-26
533,tt0281686,2022-10-26,2022-10-26,,"Bubba Ho-Tep","Bubba Ho-Tep",https://www.imdb.com/title/tt0281686/,Movie,6.9,92,2002,"Comedy, Fantasy, Horror, Mystery",53844,2003-10-10,"Don Coscarelli",5,2022-10-26
534,tt5598292,2022-10-26,2022-10-26,,"Polaroid","Polaroid",https://www.imdb.com/title/tt5598292/,Movie,5.2,88,2019,"Drama, Horror, Mystery, Thriller",18681,2019-09-17,"Lars Klevberg",7,2022-10-26
535,tt1341335,2022-10-26,2022-10-26,,"Smile","Smile",https://www.imdb.com/title/tt1341335/,Movie,3.3,84,2009,"Horror",776,2023-03-23,"Francesco Gasperoni",4,2022-10-26
536,tt0426459,2022-10-26,2022-10-26,,"Feast","Feast",https://www.imdb.com/title/tt0426459/,Movie,6.2,95,2005,"Action, Comedy, Horror, Sci-Fi, Thriller",35826,2007-01-18,"John Gulager",5,2022-10-26
537,tt0856288,2022-10-26,2022-10-26,,"Inside","À l'intérieur",https://www.imdb.com/title/tt0856288/,Movie,6.7,82,2007,"Horror",48000,2007-06-13,"Alexandre Bustillo, Julien Maury",7,2022-10-26
538,tt0465203,2022-10-26,2022-10-26,,"Them","Ils",https://www.imdb.com/title/tt0465203/,Movie,6.3,77,2006,"Horror, Thriller",33666,2006-07-19,"David Moreau, Xavier Palud",7,2022-10-26
539,tt7781432,2022-10-27,2022-10-27,,"The Mortuary Collection","The Mortuary Collection",https://www.imdb.com/title/tt7781432/,Movie,6.4,108,2019,"Fantasy, Horror",16103,2020-10-15,"Ryan Spindell",6,2022-10-27
540,tt8114980,2022-10-27,2022-10-27,,"Willy's Wonderland","Willy's Wonderland",https://www.imdb.com/title/tt8114980/,Movie,5.5,88,2021,"Action, Comedy, Horror, Thriller",43587,2021-02-12,"Kevin Lewis",8,2022-10-27
541,tt10919380,2022-10-27,2022-10-27,,"Freaky","Freaky",https://www.imdb.com/title/tt10919380/,Movie,6.3,102,2020,"Comedy, Horror, Thriller",80654,2020-11-13,"Christopher Landon",7,2022-10-27
542,tt0081186,2022-10-27,2022-10-27,,"Mother's Day","Mother's Day",https://www.imdb.com/title/tt0081186/,Movie,5.3,91,1980,"Comedy, Horror, Thriller",6913,1980-09-19,"Charles Kaufman",3,2022-10-27
543,tt15174116,2022-10-27,2022-10-27,,"Dashcam","Dashcam",https://www.imdb.com/title/tt15174116/,Movie,4.5,80,2021,"Horror",7562,2022-06-03,"Rob Savage",9,2022-10-27
544,tt2282016,2022-10-27,2022-10-27,,"The Possession of Michael King","The Possession of Michael King",https://www.imdb.com/title/tt2282016/,Movie,5.7,83,2014,"Drama, Fantasy, Horror, Thriller",14176,2014-08-22,"David Jung",8,2022-10-27
545,tt18968540,2022-10-27,2022-10-27,,"Incantation","Zhou",https://www.imdb.com/title/tt18968540/,Movie,6.3,110,2022,"Horror, Mystery",28547,2022-07-08,"Kevin Ko",9,2022-11-12
546,tt1735485,2022-10-28,2022-10-28,,"The Tunnel","The Tunnel",https://www.imdb.com/title/tt1735485/,Movie,5.8,94,2011,"Horror, Mystery, Thriller",25429,2011-05-19,"Carlo Ledesma",6,2022-10-28
547,tt5834760,2022-10-29,2022-10-29,,"Look Away","Look Away",https://www.imdb.com/title/tt5834760/,Movie,5.8,103,2018,"Drama, Fantasy, Horror, Thriller",24158,2018-11-02,"Assaf Bernstein",5,2022-10-29
548,tt13444912,2022-10-29,2022-10-29,,"The Midnight Club","The Midnight Club",https://www.imdb.com/title/tt13444912/,TV Series,6.5,60,2022,"Drama, Horror, Mystery, Thriller",40268,2022-10-07,,8,2022-10-29
